trial,dist,RT,interstim,NumberofLED
1,200,371,644,2
2,90,263,423,1
3,30,365,402,2
4,160,271,426,2
5,60,263,389,1
6,120,313,547,2
7,90,0,530,2
8,60,328,505,1
9,160,329,663,1
10,200,0,644,1
11,120,334,492,1
12,250,0,318,1
13,200,372,759,2
14,90,290,611,1
15,250,388,755,1
16,200,417,724,1
17,160,437,766,1
18,200,394,787,1
19,200,417,576,2
20,60,285,535,1
21,250,325,786,2
22,250,498,333,1
23,30,361,496,1
24,30,269,420,2
25,250,329,344,1
26,120,314,634,2
27,30,290,594,1
28,60,282,445,1
29,250,372,484,1
30,60,435,420,1
31,250,316,619,2
32,30,239,497,1
33,30,379,305,1
34,30,275,434,1
35,60,270,768,1
36,60,278,708,1
37,60,340,325,2
38,30,304,781,2
39,250,329,352,1
40,30,322,507,1
41,200,441,575,2
42,160,348,622,1
43,160,361,647,1
44,120,317,676,2
45,250,374,418,1
46,60,273,435,2
47,200,0,522,1
48,250,352,574,2
49,60,285,677,1
50,30,322,481,1
51,90,339,717,2
52,60,313,382,1
53,160,349,385,2
54,60,289,534,1
55,200,0,652,1
56,60,227,757,1
57,60,326,735,1
58,250,316,739,1
59,160,319,679,1
60,90,294,484,2
61,200,0,581,2
62,160,302,433,1
63,60,364,630,1
64,200,409,401,1
65,90,355,375,1
66,250,335,521,2
67,250,358,684,1
68,250,396,515,2
69,250,303,613,2
70,90,0,689,2
71,30,297,354,1
72,120,319,578,2
73,160,305,525,1
74,120,282,771,1
75,120,278,733,1
76,200,469,311,1
77,200,456,786,2
78,160,308,664,2
79,200,469,388,2
80,120,375,602,1
81,120,326,645,1
82,160,401,700,1
83,120,324,315,2
84,30,348,625,1
85,90,499,495,1
86,250,345,647,2
87,90,277,692,1
88,200,445,472,1
89,250,340,515,1
90,160,417,519,1
91,30,327,733,2
92,90,255,717,1
93,60,380,628,1
94,60,333,430,1
95,30,359,443,2
96,120,321,465,1
97,60,342,431,1
98,200,387,401,1
99,120,328,647,2
100,60,313,568,1
101,250,0,592,1
102,250,392,316,1
103,90,366,404,1
104,120,379,554,1
105,60,270,745,1
106,30,306,647,2
107,250,416,546,1
108,200,355,658,1
109,120,424,749,1
110,30,315,714,1
111,90,309,341,2
112,120,368,743,1
113,200,0,345,2
114,120,336,471,1
115,90,295,613,2
116,90,291,706,1
117,90,322,498,1
118,160,343,415,1
119,200,444,326,2
120,200,0,422,2
121,90,290,721,1
122,120,340,312,1
123,200,416,336,1
124,60,273,566,2
125,250,460,476,1
126,120,368,509,1
127,30,297,792,2
128,120,361,692,1
129,250,403,351,1
130,30,333,319,2
131,90,290,754,1
132,90,306,498,1
133,160,320,738,2
134,120,301,460,1
135,90,0,482,2
136,120,460,345,1
137,200,395,584,1
138,250,409,552,1
139,30,297,590,1
140,160,367,618,1
141,90,342,655,1
142,30,326,691,1
143,120,254,752,2
144,250,520,754,1
145,250,324,426,1
146,60,349,708,1
147,200,432,631,1
148,30,402,753,1
149,60,301,525,1
150,120,293,509,2
151,30,301,794,1
152,60,289,425,1
153,160,314,613,2
154,160,306,382,1
155,120,326,555,2
156,90,256,565,1
157,90,310,473,2
158,200,321,506,2
159,250,369,382,2
160,30,343,473,2
161,160,310,432,1
162,120,319,411,1
163,30,283,570,1
164,60,261,673,1
165,250,398,379,1
166,60,295,606,1
167,160,321,576,2
168,120,0,457,1
169,200,0,691,1
170,120,328,326,1
171,250,430,680,1
172,250,351,779,1
173,200,683,544,1
174,90,0,397,2
175,120,296,670,2
176,250,520,379,2
177,120,278,746,1
178,60,353,459,1
179,250,421,386,2
180,160,459,416,1
181,60,449,758,1
182,90,371,380,1
183,200,0,399,2
184,90,255,669,2
185,200,663,548,1
186,250,374,645,1
187,160,355,749,1
188,160,289,681,2
189,30,320,329,1
190,160,366,418,1
191,90,282,491,2
192,160,0,606,1
193,160,269,751,1
194,60,292,721,2
195,160,328,418,2
196,160,355,736,2
197,60,306,539,1
198,200,0,408,2
199,90,272,499,2
200,60,354,661,1
201,200,0,525,1
202,160,332,668,1
203,200,340,560,2
204,250,484,590,1
205,120,363,529,2
206,250,341,608,1
207,200,480,666,1
208,60,452,331,1
209,90,306,489,1
210,30,304,747,1
211,30,351,574,1
212,200,0,402,2
213,120,306,797,2
214,60,358,366,1
215,250,359,447,1
216,200,467,523,2
217,60,331,754,1
218,200,346,360,2
219,200,491,687,2